Results from query to NASA/IPAC Extragalactic Database (NED),,,,,,,,,,,,,,,,
which is funded by the National Aeronautics and Space Administration.,,,,,,,,,,,,,,,,
and operated by the California Institute of Technology.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
queryDateTime:2024-06-24T19:36:45PDT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Main Information Table for All Sky,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Equinox:J2000.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CoordSystem:Equatorial,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
45,NGC 0613,23.57571,-29.41836,G,1475,0.00492,SUN,10.7B,0,421,14,129,35,25,20,0
46,NGC 0625,23.76929,-41.43619,G,396,0.001321,SUN,11.5B,0,257,10,88,49,22,20,0
47,NGC 0615,23.77367,-7.34031,G,1838,0.006131,S1L,12.47,0,157,4,79,22,17,7,0
48,MESSIER 074,24.17395,15.78366,G,657,0.002192,SUN,9.95,0,1487,21,292,113,38,9,0
49,NGC 0636,24.77721,-7.51261,G,1877,0.006261,SST,12.76,0,215,8,66,21,16,6,0
50,NGC 0660,25.76,13.64506,G,848,0.002829,S1L,12.0B,0,490,14,239,59,40,12,0
51,WISEA J014645.86+000300.5,26.69103,0.0502,!*,8994,0.03,PUN,14.5g,0,1,0,41,6,1,4,0
52,WISEA J014709.98+001343.9,26.79179,0.22901,!*,8994,0.03,PUN,14.8g,0,1,0,41,6,1,4,0
53,NGC 0669,26.81729,35.56331,G,4674,0.015591,S1L,13.36,0,98,3,63,19,19,8,0
54,IC 1727,26.87454,27.33336,G,345,0.001151,SUN,12.07,0,207,9,72,33,18,8,0
55,NGC 0685,26.92837,-52.76181,G,1363,0.004546,UUN,11.5,0,130,6,56,24,19,18,0
56,NGC 0672,26.97717,27.43278,G,429,0.001431,UUN,11.47,0,320,12,77,41,18,8,0
57,NGC 0676,27.23879,5.90753,G,1506,0.005023,SUN,10.5,0,117,5,41,19,9,6,0
58,NGC 0678,27.35358,21.99731,G,2835,0.009457,SUN,13.33,0,116,5,66,27,19,8,0
59,NGC 0684,27.55842,27.64567,G,3537,0.011798,S1L,13.34,0,84,4,55,20,15,8,0
60,NGC 0691,27.67383,21.75992,G,2666,0.008893,S1L,11.6B,0,168,4,68,33,20,10,0
61,UGC 01308,27.7135,36.27582,G,5171,0.017249,SUN,13.77,0,82,0,40,16,18,6,1
62,NGC 0674,27.82321,22.35797,G,3090,0.010307,UUN,12.84,0,142,5,79,26,17,8,1
63,NGC 0720,28.25208,-13.73865,G,1745,0.005821,SUN,11.16,0,457,9,80,33,27,6,0
64,NGC 0718,28.30542,4.19583,G,1733,0.005781,SUN,12.59,0,178,11,79,21,13,7,0
65,IC 0171,28.79254,35.28189,G,5359,0.017876,S1L,13.23,0,69,1,48,13,13,6,0
66,UGC 01400,29.02196,36.12908,G,5336,0.017799,SUN,13.8,0,49,1,32,9,6,7,0
67,UGC 01378,29.08017,73.28278,G,2935,0.00979,SUN,13.5,0,57,1,46,21,18,7,0
68,NGC 0741,29.08764,5.62894,G,5484,0.018294,SLS,12.2,0,337,11,129,43,25,10,0
69,NGC 0772,29.83158,19.00753,G,2472,0.008246,SUN,10.0B,0,363,14,137,31,21,8,0
70,NGC 0779,29.92617,-5.96319,G,1391,0.00464,SUN,11.95,0,153,5,32,18,13,5,0
71,NGC 0777,30.06209,31.42957,G,5015,0.016728,UUN,12.49,0,202,7,131,50,35,10,0
72,NGC 0784,30.32054,28.83725,G,198,0.00066,SUN,12.23,0,201,4,97,42,19,7,0
73,NGC 0812,31.71458,44.57292,G,5163,0.017222,SUN,12.2,0,68,3,34,21,15,7,0
74,NGC 0821,32.08808,10.99492,G,1735,0.005787,SUN,11.67,0,490,10,100,31,24,7,0
75,NGC 0828,32.53988,39.19036,G,5350,0.017846,S1L,13.15,0,192,12,105,45,25,8,0
76,NGC 0864,33.86517,6.00261,G,1562,0.00521,SUN,11.4,0,245,12,65,29,21,8,0
77,NGC 0895,35.40196,-5.52139,G,2288,0.007632,SUN,11.8B,0,178,7,80,33,23,7,0
